_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,sentimen,data_tweet
778243823,TRUE,golden,156,,Relevant,Just happened a terrible car crash
778243824,TRUE,golden,152,,Relevant,Our Deeds are the Reason of this #earthquake May ALLAH Forgive us all
778243825,TRUE,golden,137,,Relevant,"Heard about #earthquake is different cities, stay safe everyone."
778243826,TRUE,golden,136,,Relevant,"there is a forest fire at spot pond, geese are fleeing across the street, I cannot save them all"
778243827,TRUE,golden,138,,Relevant,Forest fire near La Ronge Sask. Canada
778243828,TRUE,golden,140,,Relevant,All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected
778243831,TRUE,golden,142,,Relevant,"13,000 people receive #wildfires evacuation orders in California "
778243832,TRUE,golden,151,,Relevant,Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school 
778243833,TRUE,golden,143,,Relevant,#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires
778243834,TRUE,golden,136,,Relevant,Apocalypse lighting. #Spokane #wildfires
778243835,TRUE,golden,152,,Relevant,"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas"
778243836,TRUE,golden,157,,Relevant,Typhoon Soudelor kills 28 in China and Taiwan
778243837,TRUE,golden,143,,Relevant,We're shaking...It's an earthquake
778243838,TRUE,golden,140,,Relevant,I'm on top of the hill and I can see a fire in the woods...
778243839,TRUE,golden,136,,Relevant,There's an emergency evacuation happening now in the building across the street
778243840,TRUE,golden,147,,Relevant,I'm afraid that the tornado is coming to our area...
778243841,TRUE,golden,147,,Relevant,Three people died from the heat wave so far
778243842,TRUE,golden,132,,Relevant,Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding
778243843,TRUE,golden,144,,Relevant,#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count 
778243844,TRUE,golden,147,,Relevant,#Flood in Bago Myanmar #We arrived Bago
778243845,TRUE,golden,136,,Relevant,Damage to school bus on 80 in multi car crash #BREAKING 
778243846,TRUE,golden,151,,Not Relevant,"They'd probably still show more life than Arsenal did yesterday, eh? EH?"
778243847,TRUE,golden,124,,Not Relevant,Hey! How are you?
778243848,TRUE,golden,140,,Not Relevant,What's up man?
778243849,TRUE,golden,141,,Not Relevant,I love fruits
778243851,TRUE,golden,142,,Not Relevant,Summer is lovely
778243852,TRUE,golden,138,,Not Relevant,My car is so fast
778243853,TRUE,golden,137,,Not Relevant,What a nice hat?
778243855,TRUE,golden,143,,Not Relevant,What a goooooooaaaaaal!!!!!!
778243856,TRUE,golden,138,,Not Relevant,Fuck off!
778243857,TRUE,golden,139,,Not Relevant,No I don't like cold!
778243858,TRUE,golden,143,,Not Relevant,this is ridiculous....
778243859,TRUE,golden,145,,Not Relevant,London is cool ;)
778243860,TRUE,golden,142,,Not Relevant,Love skiing
778243861,TRUE,golden,140,,Not Relevant,What a wonderful day!
778243863,TRUE,golden,141,,Not Relevant,NOOOOOOOOO! Don't do that!
778243864,TRUE,golden,142,,Not Relevant,LOOOOOOL
778243865,TRUE,golden,150,,Not Relevant,No way...I can't eat that shit
778243866,TRUE,golden,147,,Not Relevant,Was in NYC last week!
778243867,TRUE,golden,135,,Not Relevant,Love my girlfriend
778243869,TRUE,golden,141,,Not Relevant,Cooool :)
778243870,TRUE,golden,139,,Not Relevant,Do you like pasta?
778243871,TRUE,golden,147,,Not Relevant,No don't tell me that!
778243873,TRUE,golden,151,,Not Relevant,What if?!
778243874,TRUE,golden,134,,Not Relevant,The end!
778243875,TRUE,golden,151,,Not Relevant,Awesome!
778244862,FALSE,finalized,5,8/26/15 15:56,Relevant,Birmingham Wholesale Market is ablaze BBC News - Fire breaks out at Birmingham's Wholesale Market http://t.co/irWqCEZWEU
778244863,FALSE,finalized,5,8/28/15 19:14,Not Relevant,@sunkxssedharry will you wear shorts for race ablaze ?
778244864,FALSE,finalized,5,8/29/15 1:27,Relevant,@bbcmtd Wholesale Markets ablaze http://t.co/lHYXEOHY6C
778244865,FALSE,finalized,5,8/26/15 16:31,Not Relevant,We always try to bring the heavy. #metal #RT http://t.co/YAo1e0xngw
778244866,FALSE,finalized,5,8/26/15 17:19,Relevant,#AFRICANBAZE: Breaking news:Nigeria flag set ablaze in Aba. http://t.co/2nndBGwyEi
778244867,FALSE,finalized,5,8/26/15 16:31,Not Relevant,#PreviouslyOnDoyinTv: Toke Makinwa‰Ûªs marriage crisis sets Nigerian Twitter ablaze... http://t.co/CMghxBa2XI
778244868,FALSE,finalized,5,8/26/15 16:25,Not Relevant,Crying out for more! Set me ablaze
778244869,FALSE,finalized,5,8/26/15 17:19,Not Relevant,On plus side LOOK AT THE SKY LAST NIGHT IT WAS ABLAZE http://t.co/qqsmshaJ3N
778244870,FALSE,finalized,5,8/28/15 20:42,Not Relevant,@PhDSquares #mufc they've built so much hype around new acquisitions but I doubt they will set the EPL ablaze this season.
778244871,FALSE,finalized,5,8/26/15 17:19,Relevant,INEC Office in Abia Set Ablaze - http://t.co/3ImaomknnA
778244872,FALSE,finalized,5,8/26/15 16:29,Relevant,Barbados #Bridgetown JAMAICA ‰ÛÒ Two cars set ablaze: SANTA CRUZ ‰ÛÓ Head of the St Elizabeth Police Superintende...  http://t.co/wDUEaj8Q4J
778244873,FALSE,finalized,5,8/26/15 16:25,Not Relevant,Ablaze for you Lord :D
778244874,FALSE,finalized,5,09/01/2015 14:14,Not Relevant,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw
778244875,FALSE,finalized,5,09/01/2015 19:22,Not Relevant,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw
778244876,FALSE,finalized,5,8/28/15 18:23,Not Relevant,"PSA: I‰Ûªm splitting my personalities.

?? techies follow @ablaze_co
?? Burners follow @ablaze"
778244877,FALSE,finalized,5,8/29/15 12:00,Not Relevant,"on the outside you're ablaze and alive
but you're dead inside"
778244878,FALSE,finalized,5,09/01/2015 14:07,Not Relevant,Had an awesome time visiting the CFC head office the ancop site and ablaze. Thanks to Tita Vida for taking care of us ??
778244879,FALSE,finalized,5,8/28/15 19:25,Not Relevant,SOOOO PUMPED FOR ABLAZE ???? @southridgelife
778244880,FALSE,finalized,5,8/31/15 13:27,Not Relevant,I wanted to set Chicago ablaze with my preaching... But not my hotel! http://t.co/o9qknbfOFX
778244881,FALSE,finalized,5,8/26/15 16:00,Not Relevant,I gained 3 followers in the last week. You? Know your stats and grow with http://t.co/TIyUliF5c6
778244882,FALSE,finalized,5,8/26/15 15:56,Relevant,How the West was burned: Thousands of wildfires ablaze in California alone http://t.co/vl5TBR3wbr
778244883,FALSE,finalized,5,09/01/2015 14:21,Not Relevant,Building the perfect tracklist to life leave the streets ablaze
778244884,FALSE,finalized,5,8/28/15 18:20,Not Relevant,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw
